timestamp_iso,epoch_s,o2_pct,flow_slm,pressure_mbar,ppo2_mbar,temp_c,rh_pct,purge_valve,steady_valve,mode,auto_running,fault,estop
2026-04-15 15:45:56,1776282356,2.77,0.0,1011.07,28.1,23.6,41.9,1,0,auto,1,0,0
2026-04-15 15:45:57,1776282357,1.96,5.5,1010.95,19.8,23.63,41.99,1,0,auto,1,0,0
2026-04-15 15:45:58,1776282358,1.95,5.5,1010.84,19.7,23.65,42.09,1,0,auto,1,0,0
2026-04-15 15:45:59,1776282359,1.93,5.5,1010.73,19.6,23.67,42.19,1,0,auto,1,0,0
2026-04-15 15:46:00,1776282360,1.91,5.5,1010.62,19.4,23.7,42.29,1,0,auto,1,0,0
2026-04-15 15:46:01,1776282361,1.9,5.5,1010.51,19.2,23.72,42.39,1,0,auto,1,0,0
2026-04-15 15:46:02,1776282362,1.88,5.5,1010.41,19.0,23.75,42.5,1,0,auto,1,0,0
2026-04-15 15:46:03,1776282363,1.86,5.5,1010.31,18.8,23.77,42.61,1,0,auto,1,0,0
2026-04-15 15:46:04,1776282364,1.83,5.5,1010.21,18.6,23.79,42.71,1,0,auto,1,0,0
2026-04-15 15:46:05,1776282365,1.81,5.5,1010.12,18.3,23.82,42.83,1,0,auto,1,0,0
2026-04-15 15:46:06,1776282366,1.79,5.5,1010.03,18.1,23.84,42.94,1,0,auto,1,0,0
2026-04-15 15:46:07,1776282367,1.76,5.5,1009.94,17.8,23.87,43.05,1,0,auto,1,0,0
2026-04-15 15:46:08,1776282368,1.73,5.5,1009.85,17.5,23.89,43.17,1,0,auto,1,0,0
2026-04-15 15:46:09,1776282369,1.7,5.5,1009.77,17.3,23.92,43.28,1,0,auto,1,0,0
2026-04-15 15:46:10,1776282370,1.67,5.5,1009.7,17.0,23.94,43.4,1,0,auto,1,0,0
2026-04-15 15:46:11,1776282371,1.64,5.5,1009.62,16.7,23.97,43.52,1,0,auto,1,0,0
2026-04-15 15:46:12,1776282372,1.61,5.5,1009.55,16.3,23.99,43.64,1,0,auto,1,0,0
2026-04-15 15:46:13,1776282373,1.58,5.5,1009.49,16.0,24.02,43.77,1,0,auto,1,0,0
2026-04-15 15:46:14,1776282374,1.55,5.5,1009.43,15.7,24.04,43.89,1,0,auto,1,0,0
2026-04-15 15:46:15,1776282375,1.52,5.5,1009.37,15.4,24.07,44.02,1,0,auto,1,0,0
2026-04-15 15:46:16,1776282376,1.48,5.5,1009.31,15.0,24.09,44.14,1,0,auto,1,0,0
2026-04-15 15:46:17,1776282377,1.45,5.5,1009.26,14.7,24.12,44.27,1,0,auto,1,0,0
2026-04-15 15:46:18,1776282378,1.42,5.5,1009.22,14.4,24.14,44.4,1,0,auto,1,0,0
2026-04-15 15:46:19,1776282379,1.38,5.5,1009.18,14.0,24.17,44.53,1,0,auto,1,0,0
2026-04-15 15:46:20,1776282380,1.35,5.5,1009.14,13.7,24.19,44.66,1,0,auto,1,0,0
2026-04-15 15:46:21,1776282381,1.32,5.5,1009.11,13.4,24.22,44.79,1,0,auto,1,0,0
2026-04-15 15:46:22,1776282382,1.29,5.5,1009.08,13.0,24.24,44.93,1,0,auto,1,0,0
2026-04-15 15:46:23,1776282383,1.25,5.5,1009.05,12.7,24.27,45.06,1,0,auto,1,0,0
2026-04-15 15:46:24,1776282384,1.22,5.5,1009.03,12.4,24.29,45.2,1,0,auto,1,0,0
2026-04-15 15:46:25,1776282385,1.19,5.5,1009.02,12.0,24.31,45.34,1,0,auto,1,0,0
2026-04-15 15:46:26,1776282386,1.16,5.5,1009.01,11.7,24.34,45.47,1,0,auto,1,0,0
2026-04-15 15:46:27,1776282387,1.13,5.5,1009.0,11.4,24.36,45.61,1,0,auto,1,0,0
