timestamp_iso,epoch_s,o2_pct,flow_slm,pressure_mbar,ppo2_mbar,temp_c,rh_pct,purge_valve,steady_valve,mode,auto_running,fault,estop
2026-04-11 16:23:02,1775938982,2.78,0.0,1011.13,28.1,23.07,55.94,1,0,auto,1,0,0
2026-04-11 16:23:03,1775938983,1.98,5.5,1011.25,20.1,23.06,55.96,1,0,auto,1,0,0
2026-04-11 16:23:04,1775938984,1.99,5.5,1011.37,20.2,23.05,55.97,1,0,auto,1,0,0
2026-04-11 16:23:05,1775938985,2.0,5.5,1011.49,20.2,23.04,55.98,1,0,auto,1,0,0
2026-04-11 16:23:06,1775938986,2.0,5.5,1011.61,20.2,23.04,55.99,1,0,auto,1,0,0
2026-04-11 16:23:07,1775938987,2.0,5.5,1011.74,20.3,23.03,56.0,1,0,auto,1,0,0
2026-04-11 16:23:08,1775938988,2.0,5.5,1011.87,20.3,23.02,56.0,1,0,auto,1,0,0
2026-04-11 16:23:09,1775938989,2.0,5.5,1012.0,20.2,23.02,56.0,1,0,auto,1,0,0
2026-04-11 16:23:10,1775938990,1.99,5.5,1012.13,20.2,23.01,56.0,1,0,auto,1,0,0
2026-04-11 16:23:11,1775938991,1.99,5.5,1012.26,20.1,23.01,55.99,1,0,auto,1,0,0
2026-04-11 16:23:12,1775938992,1.98,5.5,1012.39,20.0,23.01,55.99,1,0,auto,1,0,0
2026-04-11 16:23:13,1775938993,1.97,5.5,1012.52,19.9,23.0,55.98,1,0,auto,1,0,0
2026-04-11 16:23:14,1775938994,1.96,5.5,1012.65,19.8,23.0,55.96,1,0,auto,1,0,0
2026-04-11 16:23:15,1775938995,1.94,5.5,1012.79,19.7,23.0,55.95,1,0,auto,1,0,0
2026-04-11 16:23:16,1775938996,1.93,5.5,1012.92,19.5,23.0,55.93,1,0,auto,1,0,0
2026-04-11 16:23:17,1775938997,1.91,5.5,1013.05,19.4,23.0,55.91,1,0,auto,1,0,0
2026-04-11 16:23:18,1775938998,1.89,5.5,1013.19,19.2,23.0,55.89,1,0,auto,1,0,0
2026-04-11 16:23:19,1775938999,1.88,5.5,1013.32,19.0,23.0,55.86,1,0,auto,1,0,0
2026-04-11 16:23:20,1775939000,1.85,5.5,1013.45,18.8,23.0,55.83,1,0,auto,1,0,0
2026-04-11 16:23:21,1775939001,1.83,5.5,1013.59,18.6,23.01,55.8,1,0,auto,1,0,0
2026-04-11 16:23:22,1775939002,1.81,5.5,1013.72,18.3,23.01,55.77,1,0,auto,1,0,0
2026-04-11 16:23:23,1775939003,1.78,5.5,1013.85,18.1,23.01,55.73,1,0,auto,1,0,0
2026-04-11 16:23:24,1775939004,1.76,5.5,1013.98,17.8,23.02,55.69,1,0,auto,1,0,0
2026-04-11 16:23:25,1775939005,1.73,5.5,1014.11,17.5,23.02,55.65,1,0,auto,1,0,0
2026-04-11 16:23:26,1775939006,1.7,5.5,1014.23,17.2,23.03,55.61,1,0,auto,1,0,0
2026-04-11 16:23:27,1775939007,1.67,5.5,1014.36,16.9,23.03,55.56,1,0,auto,1,0,0
2026-04-11 16:23:28,1775939008,1.64,5.5,1014.48,16.6,23.04,55.51,1,0,auto,1,0,0
2026-04-11 16:23:29,1775939009,1.61,5.5,1014.61,16.3,23.05,55.46,1,0,auto,1,0,0
2026-04-11 16:23:30,1775939010,1.58,5.5,1014.73,16.0,23.06,55.41,1,0,auto,1,0,0
2026-04-11 16:23:31,1775939011,1.55,5.5,1014.85,15.7,23.06,55.35,1,0,auto,1,0,0
2026-04-11 16:23:32,1775939012,1.51,5.5,1014.97,15.3,23.07,55.29,1,0,auto,1,0,0
